	sequence	sampling points	vegetation inliers	sampling time	total time
0	001	100	259573	8.925811767578125	12.984865188598633
1	001	250	4044	9.083848476409912	10.089105129241943
2	001	500	233812	8.907194375991821	9.957277536392212
3	001	1000	5299	9.035720109939575	10.523535013198853
4	001	2000	4964	9.522720336914062	14.876825332641602
5	002	100	0	7.961499452590942	8.341539859771729
6	002	250	2564	7.91432785987854	8.427284955978394
7	002	500	1948	7.7712907791137695	8.464362144470215
8	002	1000	12477	8.034722805023193	9.859910726547241
9	002	2000	8402	8.022547245025635	20.24659752845764
10	003	100	1296	6.842404842376709	7.320098400115967
11	003	250	4533	6.666151523590088	7.184655666351318
12	003	500	5014	6.938288688659668	7.687804460525513
13	003	1000	6278	7.046115159988403	9.00821852684021
14	003	2000	6026	7.391456842422485	24.577529668807983
15	005	100	99	6.197281122207642	6.525411128997803
16	005	250	4255	6.074578285217285	6.491610288619995
17	005	500	373	6.273698091506958	6.853652715682983
18	005	1000	3413	6.264741897583008	7.608690977096558
19	005	2000	4634	6.672260284423828	21.8463454246521
20	011	100	18668	5.609760284423828	6.096931457519531
21	011	250	21675	5.784786224365234	6.289526700973511
22	011	500	200	5.67585825920105	6.289541721343994
23	011	1000	143	5.640480995178223	7.179776668548584
24	011	2000	10115	6.2071990966796875	21.45597004890442
25	013	100	36311	3.6553125381469727	4.21463680267334
26	013	250	43472	3.820963144302368	4.470525741577148
27	013	500	44411	3.820009469985962	4.665960788726807
28	013	1000	48954	4.034659385681152	6.006762742996216
29	013	2000	36384	4.17679762840271	14.075774192810059
30	015	100	234	5.8605053424835205	6.632248163223267
31	015	250	1358	6.013418197631836	6.883376836776733
32	015	500	1735	6.1940107345581055	8.228735208511353
33	015	1000	1522	6.170990467071533	13.538313388824463
34	015	2000	1340	6.317266225814819	61.678112506866455
35	016	100	0	7.204384088516235	7.584995985031128
36	016	250	0	7.1398162841796875	7.603564977645874
37	016	500	0	7.001830339431763	8.00508427619934
38	016	1000	0	7.441915512084961	14.4734365940094
39	016	2000	0	7.810925722122192	68.55165767669678
40	017	100	0	5.258151531219482	5.62162446975708
41	017	250	71902	5.2733824253082275	6.031444549560547
42	017	500	64525	5.218770265579224	6.2286741733551025
43	017	1000	8275	5.381962537765503	9.417262554168701
44	017	2000	37614	5.6812744140625	35.15093541145325
45	019	100	31045	7.097809553146362	7.7513792514801025
46	019	250	46194	7.119222640991211	7.89284873008728
47	019	500	63984	7.160428524017334	8.043500900268555
48	019	1000	1930	7.3074047565460205	8.889377117156982
49	019	2000	2147	7.721489906311035	18.061678409576416
50	021	100	33484	8.490321636199951	9.078326225280762
51	021	250	22787	8.387715578079224	8.999613285064697
52	021	500	2575	8.704479694366455	9.511574983596802
53	021	1000	3990	8.889794826507568	10.906931638717651
54	021	2000	3054	9.155306577682495	20.54979681968689
55	023	100	16227	7.024897813796997	7.615280866622925
56	023	250	27398	6.907050371170044	7.60298752784729
57	023	500	28060	6.931297779083252	7.7643256187438965
58	023	1000	25205	6.906266212463379	8.631834506988525
59	023	2000	36298	7.276475191116333	15.48462176322937
60	024	100	3523	10.016941547393799	10.44288444519043
61	024	250	5368	10.034150123596191	10.532178163528442
62	024	500	4739	9.851401329040527	10.507005453109741
63	024	1000	3158	10.263476848602295	11.747440576553345
64	024	2000	1170	10.43822455406189	17.690146684646606
65	027	100	83840	8.124367952346802	8.75655746459961
66	027	250	81198	8.3025062084198	9.04883337020874
67	027	500	3307	8.187915325164795	9.062386989593506
68	027	1000	4880	8.444244623184204	10.80644154548645
69	027	2000	11998	9.059911727905273	22.272465229034424
70	028	100	208	6.778660774230957	7.498871564865112
71	028	250	35008	6.766943454742432	7.549272775650024
72	028	500	200	7.000391721725464	7.976645469665527
73	028	1000	489	6.775096654891968	9.643869400024414
74	028	2000	69625	7.2420103549957275	27.802857398986816
75	029	100	33441	13.576195001602173	14.141899585723877
76	029	250	2424	13.460135221481323	14.068810939788818
77	029	500	7340	13.280486583709717	14.119797468185425
78	029	1000	8604	13.147746801376343	14.633845329284668
79	029	2000	8662	13.61782693862915	25.125925540924072
80	030	100	0	4.665131568908691	5.0837976932525635
81	030	250	0	5.0746543407440186	5.7464985847473145
82	030	500	0	5.184678316116333	8.665111780166626
83	030	1000	0	6.004591464996338	25.584370136260986
84	030	2000	0	5.695196628570557	159.18948459625244
85	032	100	42127	5.534587383270264	6.2436535358428955
86	032	250	30	5.664802551269531	6.4823691844940186
87	032	500	156	5.443316459655762	6.552492380142212
88	032	1000	102	5.79636025428772	12.607468366622925
89	032	2000	48	5.873445272445679	55.6533567905426
90	033	100	6331	6.7060136795043945	7.359885931015015
91	033	250	19287	6.5484631061553955	7.199556589126587
92	033	500	27608	6.837507486343384	7.76024055480957
93	033	1000	30776	7.1486594676971436	9.170123815536499
94	033	2000	33296	7.392580509185791	21.900246381759644
95	034	100	1304	6.868841886520386	7.577622175216675
96	034	250	5106	6.899138689041138	7.706884145736694
97	034	500	7468	7.1082587242126465	8.139225482940674
98	034	1000	6493	7.135726690292358	10.250454664230347
99	034	2000	9741	7.5638651847839355	34.304659843444824
100	035	100	3973	6.272046804428101	7.056077480316162
101	035	250	20336	6.432370185852051	7.213320970535278
102	035	500	42195	6.273123264312744	7.354401350021362
103	035	1000	46715	6.48042368888855	9.196590900421143
104	035	2000	49678	6.8681182861328125	25.998185396194458
105	037	100	63778	7.97516655921936	8.795127153396606
106	037	250	4314	8.050839900970459	8.934240341186523
107	037	500	979	8.050367832183838	9.192178726196289
108	037	1000	1906	8.156204223632812	11.711318492889404
109	037	2000	4096	8.465719938278198	36.88828945159912
110	038	100	1275	5.249441385269165	5.968132257461548
111	038	250	42	5.506299018859863	6.289203643798828
112	038	500	344	5.709630966186523	7.04109525680542
113	038	1000	383	5.5505125522613525	9.998046875
114	038	2000	457	6.316150665283203	38.4651825428009
115	039	100	629	9.296271562576294	9.956019163131714
116	039	250	1997	9.155725240707397	9.834121227264404
117	039	500	2861	9.056447267532349	9.925345420837402
118	039	1000	3676	9.200401306152344	11.883492946624756
119	039	2000	3803	9.59958529472351	34.483107566833496
120	040	100	778	5.381873369216919	6.200968265533447
121	040	250	2035	5.413262844085693	6.279886484146118
122	040	500	490	5.3971381187438965	6.465144634246826
123	040	1000	879	5.445594787597656	8.563897132873535
124	040	2000	1951	5.919686794281006	25.787436962127686
125	041	100	10480	8.415100336074829	9.065650463104248
126	041	250	11753	8.459015846252441	9.150903940200806
127	041	500	13240	8.3792405128479	9.275347232818604
128	041	1000	15977	8.891782522201538	11.612084865570068
129	041	2000	17323	9.068874835968018	25.949582815170288
130	042	100	30421	7.785834312438965	8.56947660446167
131	042	250	27951	7.81299614906311	8.670523643493652
132	042	500	17122	7.627158164978027	8.675912380218506
133	042	1000	18663	7.9543986320495605	10.36802625656128
134	042	2000	25547	8.455897808074951	26.809916496276855
135	043	100	97233	9.771869897842407	10.438090085983276
136	043	250	40192	9.372076034545898	10.138770580291748
137	043	500	18752	9.630409717559814	10.6006600856781
138	043	1000	19050	9.85329294204712	11.322687149047852
139	043	2000	19133	10.179712772369385	19.912487506866455
140	044	100	1282	8.617478609085083	9.827079057693481
141	044	250	178873	8.432832956314087	10.031994581222534
142	044	500	21105	8.574328184127808	10.115789890289307
143	044	1000	212819	8.427819013595581	10.673165559768677
144	044	2000	296721	8.956688404083252	16.226200103759766
145	046	100	59540	7.763455867767334	8.468011617660522
146	046	250	77662	7.66493821144104	8.429815292358398
147	046	500	24668	7.957149505615234	8.961288213729858
148	046	1000	28723	8.12429404258728	10.123230457305908
149	046	2000	35030	8.168487310409546	24.08517575263977
